IB Symbol,Product Description,Symbol,Currency
ARNA,ARENA PHARMACEUTICALS INC,ARNA,USD
ARNC,ARCONIC INC,ARNC,USD
ARNC PR,ARCONIC INC,ARNC PR,USD
AROC,ARCHROCK INC,AROC,USD
AROW,ARROW FINANCIAL CORP,AROW,USD
ARPO,AERPIO PHARMACEUTICALS INC,ARPO,USD
ARQL,ARQULE INC,ARQL,USD
ARR,ARMOUR RESIDENTIAL REIT INC,ARR,USD
ARR PRA,ARMOUR RESIDENTIAL REIT,ARR PRA,USD
ARR PRB,ARMOUR RESIDENTIAL REIT,ARR PRB,USD
ARRS,ARRIS INTERNATIONAL PLC,ARRS,USD
ARRY,ARRAY BIOPHARMA INC,ARRY,USD
ARTNA,ARTESIAN RESOURCES CORP-CL A,ARTNA,USD
ARTW,ART'S-WAY MANUFACTURING CO,ARTW,USD
ARTX,AROTECH CORP,ARTX,USD
ARVR,WEAR ETF,ARVR,USD
ARW,ARROW ELECTRONICS INC,ARW,USD
ARWR,ARROWHEAD PHARMACEUTICALS IN,ARWR,USD
ASA,ASA GOLD AND PRECIOUS METALS,ASA,USD
ASB,ASSOCIATED BANC-CORP,ASB,USD
ASB PRC,ASSOCIATED BANC-CORP SERIES C 6.125% PREFERRED SHARES,ASB PRC,USD
ASB PRD,ASSOCIATED BANC-CORP WIS DS REPTG 1/40 INT,ASB PRD,USD
ASC,ARDMORE SHIPPING CORP,ASC,USD
ASCMA,ASCENT CAPITAL GROUP INC-A,ASCMA,USD
ASEA,GLOBAL X FTSE SOUTHEAST ASIA,ASEA,USD
ASET,FLEXSHARES REAL ASSETS FUND,ASET,USD
ASFI,ASTA FUNDING INC,ASFI,USD
ASG,LIBERTY ALL-STAR GROWTH FD,ASG,USD
ASGN,ASGN INC,ASGN,USD
ASH,ASHLAND GLOBAL HOLDINGS INC,ASH,USD
ASHR,XTRACKERS HARVEST CSI 300 CH,ASHR,USD
ASHS,XTRACKERS HARVEST CSI 500 CH,ASHS,USD
ASHX,XTRACKERS MSCI CHINA A INCLUSI,ASHX,USD
ASIX,ADVANSIX INC,ASIX,USD
ASLN,ASLAN PHARMACEUTICALS LT-ADR,ASLN,USD
ASM,AVINO SILVER & GOLD MINES,ASM,USD
ASMB,ASSEMBLY BIOSCIENCES INC,ASMB,USD
ASML,ASML HOLDING NV-NY REG SHS,ASML,USD
ASNA,ASCENA RETAIL GROUP INC,ASNA,USD
ASND,ASCENDIS PHARMA A/S - ADR,ASND,USD
ASNS,ARSANIS INC,ASNS,USD
ASPN,ASPEN AEROGELS INC,ASPN,USD
ASPS,ALTISOURCE PORTFOLIO SOL,ASPS,USD
ASPU,ASPEN GROUP INC,ASPU,USD
ASR,GRUPO AEROPORTUARIO SUR-ADR,ASR,USD
ASRV,AMERISERV FINANCIAL INC,ASRV,USD
ASRVP,"AMERISERVE FINANCIAL INC. , 8.45% BENEF UNSEC SEC",ASRVP,USD
AST,ASTERIAS BIOTHERAPEUTICS,AST,USD
ASTC,ASTROTECH CORP,ASTC,USD
ASTE,ASTEC INDUSTRIES INC,ASTE,USD
ASUR,ASURE SOFTWARE INC,ASUR,USD
ASV,ASV HOLDINGS INC,ASV,USD
ASX,ASE INDUSTRIAL HLDG-ADR,ASX,USD
ASYS,AMTECH SYSTEMS INC,ASYS,USD
AT,ATLANTIC POWER CORP,AT,USD
ATAC,ATLANTIC ACQUISITION CORP,ATAC,USD
ATACR,ATLANTIC ACQUISITION COR-RTS,ATACR,USD
ATACU,ATLANTIC ACQUISITION COR - U,ATACU,USD
ATAI,ATA INC-ADR,ATAI,USD
ATAX,AMERICA FIRST MULTIFAMILY IN,ATAX,USD
ATEC,ALPHATEC HOLDINGS INC,ATEC,USD
ATEN,A10 NETWORKS INC,ATEN,USD
ATGE,ADTALEM GLOBAL EDUCATION INC,ATGE,USD
ATH,ATHENE HOLDING LTD-CLASS A,ATH,USD
ATHM,AUTOHOME INC-ADR,ATHM,USD
ATHN,ATHENAHEALTH INC,ATHN,USD
ATHX,ATHERSYS INC,ATHX,USD
ATI,ALLEGHENY TECHNOLOGIES INC,ATI,USD
ATIS,ATTIS INDUSTRIES INC,ATIS,USD
ATKR,ATKORE INTERNATIONAL GROUP I,ATKR,USD
ATLC,ATLANTICUS HOLDINGS CORP,ATLC,USD
ATLO,AMES NATIONAL CORP,ATLO,USD
ATMP,BARCLAYS ETN+ SELECT MLP ETN,ATMP,USD
ATNI,ATN INTERNATIONAL INC,ATNI,USD
ATNM,ACTINIUM PHARMACEUTICALS INC,ATNM,USD
ATNX,ATHENEX INC,ATNX,USD
ATO,ATMOS ENERGY CORP,ATO,USD
ATOM,ATOMERA INC,ATOM,USD
ATOS,ATOSSA GENETICS INC,ATOS,USD
ATR,APTARGROUP INC,ATR,USD
ATRA,ATARA BIOTHERAPEUTICS INC,ATRA,USD
ATRC,ATRICURE INC,ATRC,USD
ATRI,ATRION CORP,ATRI,USD
ATRO,ASTRONICS CORP,ATRO,USD
ATRS,ANTARES PHARMA INC,ATRS,USD
ATSG,AIR TRANSPORT SERVICES GROUP,ATSG,USD
ATTO,ATENTO SA,ATTO,USD
ATTU,ATTUNITY LTD,ATTU,USD
ATU,ACTUANT CORP-A,ATU,USD
ATUS,ALTICE USA INC- A,ATUS,USD
ATV,ACORN INTERNATIONAL INC-ADR,ATV,USD
ATVI,ACTIVISION BLIZZARD INC,ATVI,USD
ATXI,AVENUE THERAPEUTICS INC,ATXI,USD
AU,ANGLOGOLD ASHANTI-SPON ADR,AU,USD
AUBN,AUBURN NATL BANCORPORATION,AUBN,USD
AUDC,AUDIOCODES LTD,AUDC,USD
AUG,AURYN RESOURCES INC,AUG,USD
AUMN,GOLDEN MINERALS CO,AUMN,USD
AUO,AU OPTRONICS CORP-SPON ADR,AUO,USD
AUPH,AURINIA PHARMACEUTICALS INC,AUPH,USD
AUSE,WISDOMTREE AUSTRALIA DIVIDEN,AUSE,USD
AUTO,AUTOWEB INC,AUTO,USD
AUY,YAMANA GOLD INC,AUY,USD
AVA,AVISTA CORP,AVA,USD
AVAL,GRUPO AVAL ACCIONES Y VALORE,AVAL,USD
AVAV,AEROVIRONMENT INC,AVAV,USD
AVB,AVALONBAY COMMUNITIES INC,AVB,USD
AVD,AMERICAN VANGUARD CORP,AVD,USD
AVDL,AVADEL PHARMACEUTICALS PLC,AVDL,USD
AVEO,AVEO PHARMACEUTICALS INC,AVEO,USD
AVGO,BROADCOM INC,AVGO,USD
AVGR,AVINGER INC,AVGR,USD
AVH,AVIANCA HOLDINGS SA-SPON ADR,AVH,USD
AVHI,AV HOMES INC,AVHI,USD
AVID,AVID TECHNOLOGY INC,AVID,USD
AVK,ADVENT CLAYMORE CVT SEC& INC,AVK,USD
AVNW,AVIAT NETWORKS INC,AVNW,USD
AVP,AVON PRODUCTS INC,AVP,USD
AVT,AVNET INC,AVT,USD
AVX,AVX CORP,AVX,USD
AVXL,ANAVEX LIFE SCIENCES CORP,AVXL,USD
AVY,AVERY DENNISON CORP,AVY,USD
AVYA,AVAYA HOLDINGS CORP,AVYA,USD
AWF,ALLIANCEBERNSTEIN GL HI INC,AWF,USD
AWI,ARMSTRONG WORLD INDUSTRIES,AWI,USD
AWK,AMERICAN WATER WORKS CO INC,AWK,USD
AWP,ABERDEEN GLBL PREM PROP,AWP,USD
AWR,AMERICAN STATES WATER CO,AWR,USD
AWRE,AWARE INC/MASS,AWRE,USD
AWX,AVALON HOLDINGS CORP-A,AWX,USD
AXAS,ABRAXAS PETROLEUM CORP,AXAS,USD
AXDX,ACCELERATE DIAGNOSTICS INC,AXDX,USD
AXE,ANIXTER INTL INC,AXE,USD
AXGN,AXOGEN INC,AXGN,USD
AXJL,WISDOMTREE ASIA-PACIFIC EX-J,AXJL,USD
AXJV,ISHARES EDGE MSCI MIN VOL AS,AXJV,USD
AXL,AMERICAN AXLE & MFG HOLDINGS,AXL,USD
AXON,AXOVANT SCIENCES LTD,AXON,USD
AXP,AMERICAN EXPRESS CO,AXP,USD
AXR,AMREP CORP,AXR,USD
AXS,AXIS CAPITAL HOLDINGS LTD,AXS,USD
AXS PRD,AXIS CAPITAL HLDGS LTD,AXS PRD,USD
AXS PRE,AXIS CAPITAL HLDGS LTD,AXS PRE,USD
AXSM,AXSOME THERAPEUTICS INC,AXSM,USD
AXTA,AXALTA COATING SYSTEMS LTD,AXTA,USD
AXTI,AXT INC,AXTI,USD
AXU,ALEXCO RESOURCE CORP,AXU,USD
AY,ATLANTICA YIELD PLC,AY,USD
AYI,ACUITY BRANDS INC,AYI,USD
AYR,AIRCASTLE LTD,AYR,USD
AYX,ALTERYX INC - CLASS A,AYX,USD
AZN,ASTRAZENECA PLC-SPONS ADR,AZN,USD
AZO,AUTOZONE INC,AZO,USD
AZPN,ASPEN TECHNOLOGY INC,AZPN,USD
AZRE,AZURE POWER GLOBAL LTD,AZRE,USD
AZRX,AZURRX BIOPHARMA INC,AZRX,USD
AZUL,AZUL SA-ADR,AZUL,USD
AZZ,AZZ INC,AZZ,USD
B,BARNES GROUP INC,B,USD
BA,BOEING CO/THE,BA,USD
BAB,INVESCO TAXABLE MUNICIPAL BOND,BAB,USD
BABA,ALIBABA GROUP HOLDING-SP ADR,BABA,USD
BABY,NATUS MEDICAL INC,BABY,USD
BAC,BANK OF AMERICA CORP,BAC,USD
BAC PRA,BANK OF AMERICA CORP,BAC PRA,USD
BAC PRB,BANK OF AMERICA CORP,BAC PRB,USD
BAC PRC,BANK OF AMERICA CORP,BAC PRC,USD
BAC PRDCL,BANK AMERICA CORP 6.204% DEP SHS SER D PFD,BAC PRDCL,USD
BAC PRE,BANK AMERICA CORP DEP SHS FLTG RATE -PFD E,BAC PRE,USD
BAC PRL,BANK OF AMERICA CORP NON CUMULATIVE,BAC PRL,USD
BAC PRW,BANK OF AMERICA CORP,BAC PRW,USD
BAC PRY,BANK OF AMERICA CORP,BAC PRY,USD
BAF,BLACKROCK MUNICIPAL INCOME I,BAF,USD
BAH,BOOZ ALLEN HAMILTON HOLDINGS,BAH,USD
BAK,BRASKEM SA-SPON ADR,BAK,USD
BALB,IPATHR SERIES B BLOOMBERG CO,BALB,USD
BAM,BROOKFIELD ASSET MANAGE-CL A,BAM,USD
BANC,BANC OF CALIFORNIA INC,BANC,USD
BANC PRCC,BANC OF CALIFORNIA INC,BANC PRCCL,USD
BANC PRD,BANC OF CALIFORNIA INC,BANC PRD,USD
BANC PRE,BANC OF CALIFORNIA INC,BANC PRE,USD
BAND,BANDWIDTH INC-CLASS A,BAND,USD
BANF,BANCFIRST CORP,BANF,USD
BANFP,"BFC CAPITAL TRUST II, 7.20% CUMUL TRUST PREFERRED SECURITIES",BANFP,USD
BANR,BANNER CORP,BANR,USD
BANX,STONECASTLE FINANCIAL CORP,BANX,USD
BAP,CREDICORP LTD,BAP,USD
BAR,GRANITESHARES GOLD TRUST,BAR,USD
BAS,BASIC ENERGY SERVICES INC,BAS,USD
BASI,BIOANALYTICAL SYSTEMS INC,BASI,USD
BATRA,LIBERTY MEDIA CORP-BRAVES A,BATRA,USD
BATRK,LIBERTY MEDIA CORP-BRAVES C,BATRK,USD
BATT,AMPLIFY ADVANCED BATTERY MET,BATT,USD
BAX,BAXTER INTERNATIONAL INC.,BAX,USD
BB,BLACKBERRY LTD,BB,USD
BBBY,BED BATH & BEYOND INC,BBBY,USD
BBC,VIRTUS LIFESCI BIOTECH CLINI,BBC,USD
BBD,BANCO BRADESCO-ADR,BBD,USD
BBDO,BANCO BRADESCO-ADR,BBDO,USD
BBF,BLACKROCK MUNICIPAL INCOME,BBF,USD
BBGI,BEASLEY BROADCAST GRP INC -A,BBGI,USD
BBH,VANECK VECTORS BIOTECH ETF,BBH,USD
BBK,BLACKROCK MUNI BOND TRUST,BBK,USD
BBL,BHP BILLITON PLC-ADR,BBL,USD
BBN,BLACKROCK TAXABLE MUNICIPAL,BBN,USD
BBOX,BLACK BOX CORPORATION,BBOX,USD
BBP,VIRTUS LIFESCI BIOTECH PRODU,BBP,USD
BBRC,COLUMBIA BEYOND BRICS ETF,BBRC,USD
BBSI,BARRETT BUSINESS SVCS INC,BBSI,USD
BBT,BB&T CORPORATION,BBT,USD
BBT PRD,BB&T CORPORATION,BBT PRD,USD
BBT PRE,BB&T CORPORATION,BBT PRE,USD
BBT PRF,BB&T CORPORATION,BBT PRF,USD
BBT PRG,BB&T CORPORATION,BBT PRG,USD
BBT PRH,BB&T CORPORATION,BBT PRH,USD
BBU,BROOKFIELD BUSINESS PT-UNIT,BBU,USD
BBVA,BANCO BILBAO VIZCAYA-SP ADR,BBVA,USD
BBW,BUILD-A-BEAR WORKSHOP INC,BBW,USD
BBX,BBX CAPITAL CORP,BBX,USD
BBY,BEST BUY CO INC,BBY,USD
BC,BRUNSWICK CORP,BC,USD
BCAC,BISON CAPITAL ACQUISITION CO,BCAC,USD
BCACR,BISON CAPITAL ACQUISITION-RT,BCACR,USD
BCACU,BISON CAPITAL ACQUISITION CO,BCACU,USD
BCBP,BCB BANCORP INC,BCBP,USD
BCC,BOISE CASCADE CO,BCC,USD
BCD,ETFS BBG CMDTY LG DT K-1 FRE,BCD,USD
BCE,BCE INC,BCE,USD
BCEI,BONANZA CREEK ENERGY INC,BCEI,USD
BCH,BANCO DE CHILE-ADR,BCH,USD
BCI,ETFS BBG ALL CMDTY K-1 FREE,BCI,USD
BCLI,BRAINSTORM CELL THERAPEUTICS,BCLI,USD
BCM,IPATH PURE BETA BROAD CMDTY,BCM,USD
BCML,BAYCOM CORP,BCML,USD
BCO,BRINK'S CO/THE,BCO,USD
BCOM,B COMMUNICATIONS LTD,BCOM,USD
BCOR,BLUCORA INC,BCOR,USD
BCOV,BRIGHTCOVE,BCOV,USD
BCPC,BALCHEM CORP,BCPC,USD
BCRH,BLUE CAPITAL REINSURANCE HOL,BCRH,USD
BCRX,BIOCRYST PHARMACEUTICALS INC,BCRX,USD
BCS,BARCLAYS PLC-SPONS ADR,BCS,USD
BCS PRD,BARCLAYS BANK PLC,BCS PRD,USD
BCTF,BANCORP 34 INC,BCTF,USD
BCV,BANCROFT FUND LTD,BCV,USD
BCV PRA,BANCROFT FUND LTD,BCV PRA,USD
BCX,BLACKROCK RESOURCES & COMMOD,BCX,USD
BDC,BELDEN INC,BDC,USD
BDC PRB,BELDEN INC,BDC PRB,USD
BDCL,ETRACS 2X WELLS FARGO BDCI,BDCL,USD
BDCS,E-TRACS WELLS FARGO BDCI ETN,BDCS,USD
BDCZ,ETRACS WELL FARGO BDC SER B,BDCZ,USD
BDD,DB BASE METALS DOUBLE LONG,BDD,USD
BDGE,BRIDGE BANCORP INC,BDGE,USD
BDJ,BLACKROCK ENHANCED EQUITY DI,BDJ,USD
BDL,FLANIGAN'S ENTERPRISES INC,BDL,USD
BDN,BRANDYWINE REALTY TRUST,BDN,USD
BDR,BLONDER TONGUE LABORATORIES,BDR,USD
BDRY,BREAKWAVE DRY BULK SHIPPING,BDRY,USD
BDSI,BIODELIVERY SCIENCES INTL,BDSI,USD
BDX,BECTON DICKINSON AND CO,BDX,USD
BDXA,BECTON DICKINSON & CO,BDXA,USD
BEAT,BIOTELEMETRY INC,BEAT,USD
BECN,BEACON ROOFING SUPPLY INC,BECN,USD
BEDU,BRIGHT SCHOLAR EDUCATION-ADR,BEDU,USD
BEF,ETFS BBG ENG CMD LG DT K1 FR,BEF,USD
BEL,BELMOND LTD-CLASS A,BEL,USD
BELFA,BEL FUSE INC-CL A,BELFA,USD
BELFB,BEL FUSE INC-CL B,BELFB,USD
BEMO,APTUS BEHAVIORAL MOMENTUM ET,BEMO,USD
BEN,FRANKLIN RESOURCES INC,BEN,USD
BEP,BROOKFIELD RENEWABLE PARTNER,BEP,USD
BERN,BERNSTEIN US RESEARCH FUND,BERN,USD
BERY,BERRY GLOBAL GROUP INC,BERY,USD
BF A,BROWN-FORMAN CORP-CLASS A,BF A,USD
BF B,BROWN-FORMAN CORP-CLASS B,BF B,USD
BFAM,BRIGHT HORIZONS FAMILY SOLUT,BFAM,USD
BFIN,BANKFINANCIAL CORP,BFIN,USD
BFIT,GLOBAL X HEALTH & WELLNESS,BFIT,USD
BFK,BLACKROCK MUNICIPAL INC TRST,BFK,USD
BFO,BLACKROCK FL MUNI 2020 TERM,BFO,USD
BFOR,BARRON'S 400 ETF,BFOR,USD
BFR,BBVA BANCO FRANCES SA-ADR,BFR,USD
BFRA,BIOFRONTERA AG,BFRA,USD
BFS,SAUL CENTERS INC,BFS,USD
BFS PRC,SAUL CTRS INC DEP SHS REPSTG 1/100T,BFS PRC,USD
BFS PRD,BFS 6 1/8 PERP PFD,BFS PRD,USD
BFST,BUSINESS FIRST BANCSHARES,BFST,USD
BFY,BLACKROCK NEW YORK MUN II,BFY,USD
BFZ,BLACKROCK CALIFOR MUNI IN TR,BFZ,USD
BG,BUNGE LIMITED,BG,USD
BGB,BLACKSTONE/GSO STRATEGIC C,BGB,USD
BGCA,BGC PARTNERS INC,BGCA,USD
BGCP,BGC PARTNERS INC-CL A,BGCP,USD
BGFV,BIG 5 SPORTING GOODS CORP,BGFV,USD
BGG,BRIGGS & STRATTON,BGG,USD
BGH,BARINGS GL SH DUR HI YLD,BGH,USD
BGI,BIRKS GROUP INC,BGI,USD
BGIO,BLACKROCK 2022 GLOBAL INCOME,BGIO,USD
BGNE,BEIGENE LTD-ADR,BGNE,USD
BGR,BLACKROCK ENRGY & RES,BGR,USD
BGS,B&G FOODS INC,BGS,USD
BGSF,BG STAFFING INC,BGSF,USD
BGT,BLACKROCK FLT RT INC,BGT,USD
BGX,BLACKSTONE/GSO LONG-SHORT CR,BGX,USD
BGY,BLACKROCK ENHANCED INTERNATI,BGY,USD
BH,BIGLARI HOLDINGS INC-B,BH,USD
BH A,BIGLARI HOLDINGS INC-A,BH A,USD
BHAC,BARINGTON/HILCO ACQUISITION,BHAC,USD
BHACR,BARINGTON/HILCO ACQUIS-RIGHT,BHACR,USD
BHACU,BARINGTON/HILCO ACQUISITION,BHACU,USD
BHB,BAR HARBOR BANKSHARES,BHB,USD
BHBK,BLUE HILLS BANCORP INC,BHBK,USD
BHE,BENCHMARK ELECTRONICS INC,BHE,USD
BHF,BRIGHTHOUSE FINANCIAL INC,BHF,USD
BHGE,BAKER HUGHES A GE CO,BHGE,USD
BHK,BLACKROCK CORE BOND TRUST,BHK,USD
BHLB,BERKSHIRE HILLS BANCORP INC,BHLB,USD
BHP,BHP BILLITON LTD-SPON ADR,BHP,USD
BHR,BRAEMAR HOTELS & RESORTS INC,BHR,USD
BHR PRB,BRAEMAR HOTELS & RESORTS INC,BHR PRB,USD
BHTG,BIOHITECH GLOBAL INC,BHTG,USD
BHV,BLACKROCK VIRGINIA MUNI BOND,BHV,USD
BHVN,BIOHAVEN PHARMACEUTICAL HOLD,BHVN,USD
BIB,PROSHARES ULTRA NASD BIOTECH,BIB,USD
BIBL,INSPIRE 100 ETF,BIBL,USD
BICK,FIRST TRUST BICK INDEX FUND,BICK,USD
BID,SOTHEBYS,BID,USD
BIDU,BAIDU INC - SPON ADR,BIDU,USD
BIF,BOULDER GROWTH & INCOME FUND,BIF,USD
BIG,BIG LOTS INC,BIG,USD
BIIB,BIOGEN INC,BIIB,USD
BIL,SPDR BBG BARC 1-3 MONTH TBIL,BIL,USD
BILI,BILIBILI INC-SPONSORED ADR,BILI,USD
BIO,BIO-RAD LABORATORIES-A,BIO,USD
BIO B,BIO-RAD LABORATORIES -CL B,BIO B,USD
BIOL,BIOLASE INC,BIOL,USD
BIOS,BIOSCRIP INC,BIOS,USD
BIP,BROOKFIELD INFRASTRUCTURE PA,BIP,USD
BIS,PROSHARES ULTRASHORT NAS BIO,BIS,USD
BIT,BLACKROCK MULTI-SECTOR INCOM,BIT,USD
BITA,BITAUTO HOLDINGS LTD-ADR,BITA,USD
BIV,VANGUARD INTERMEDIATE-TERM B,BIV,USD
BIZD,VANECK VECTORS BDC INCOME ET,BIZD,USD
BJJN,IPATH SERIES B BLOOMBERG NIC,BJJN,USD
BJK,VANECK VECTORS GAMING ETF,BJK,USD
BJO,IPATH SERIES B BLOOMBERG COF,BJO,USD
BJRI,BJ'S RESTAURANTS INC,BJRI,USD
BJZ,BLACKROCK CALI MUNI 2018 TRM,BJZ,USD
BK,BANK OF NEW YORK MELLON CORP,BK,USD
BK PRC,BANK OF NEW YORK MELLON,BK PRC,USD
BKC,REX BKCM ETF,BKC,USD
BKCC,BLACKROCK CAPITAL INVESTMENT,BKCC,USD
BKD,BROOKDALE SENIOR LIVING INC,BKD,USD
BKE,BUCKLE INC/THE,BKE,USD
BKEP,BLUEKNIGHT ENERGY PARTNERS L,BKEP,USD
BKEPP,BLUEKNIGHT ENERGY PARTNERS - SERIES A PREF UNIT,BKEPP,USD
BKF,ISHARES MSCI BRIC ETF,BKF,USD
BKH,BLACK HILLS CORP,BKH,USD
BKHU,BLACK HILLS CORP,BKHU,USD
BKI,BLACK KNIGHT INC,BKI,USD
BKJ,BANCORP OF NEW JERSEY INC,BKJ,USD
BKK,BLACKROCK MUNI 2020 TERM TRS,BKK,USD
BKLN,INVESCO SENIOR LOAN ETF,BKLN,USD
BKN,BLACKROCK INVT QUALITY MUNI,BKN,USD
BKNG,BOOKING HOLDINGS INC,BKNG,USD
BKS,BARNES & NOBLE INC,BKS,USD
BKSC,BANK OF SOUTH CAROLINA CORP,BKSC,USD
BKT,BLACKROCK INCOME TRUST,BKT,USD
BKTI,BK TECHNOLOGIES INC,BKTI,USD
BKU,BANKUNITED INC,BKU,USD
BKYI,BIO-KEY INTERNATIONAL INC,BKYI,USD
BL,BLACKLINE INC,BL,USD
BLBD,BLUE BIRD CORP,BLBD,USD
BLCM,BELLICUM PHARMACEUTICALS INC,BLCM,USD
BLCN,REALITY SHRS NASDAQ NEXGEN,BLCN,USD
BLD,TOPBUILD CORP,BLD,USD
BLDP,BALLARD POWER SYSTEMS INC,BLDP,USD
BLDR,BUILDERS FIRSTSOURCE INC,BLDR,USD
BLE,BLACKROCK MUN INC TRUST II,BLE,USD
BLES,INSPIRE GLOBAL HOPE ETF,BLES,USD
BLFS,BIOLIFE SOLUTIONS INC,BLFS,USD
BLH,BLACKROCK NEW YORK MUNI 2018,BLH,USD
BLHY,VIRTUS NEWFLEET DYNAMIC CRED,BLHY,USD
BLIN,BRIDGELINE DIGITAL INC,BLIN,USD
BLK,BLACKROCK INC,BLK,USD
BLKB,BLACKBAUD INC,BLKB,USD
BLL,BALL CORP,BLL,USD
BLMN,BLOOMIN' BRANDS INC,BLMN,USD
BLMT,BSB BANCORP INC/MA,BLMT,USD
BLNK,BLINK CHARGING CO,BLNK,USD
BLOK,AMPLIFY TRANSFOR DATA SHARIN,BLOK,USD
BLPH,BELLEROPHON THERAPEUTICS INC,BLPH,USD
BLRX,BIOLINE RX LTD-SPONS ADR,BLRX,USD
BLUE,BLUEBIRD BIO INC,BLUE,USD
BLV,VANGUARD LONG-TERM BOND ETF,BLV,USD
BLW,BLACKROCK LTD DURATION INC,BLW,USD
BLX,BANCO LATINOAMERICANO COME-E,BLX,USD
BMA,BANCO MACRO SA-ADR,BMA,USD
BMCH,BMC STOCK HOLDINGS INC,BMCH,USD
BME,BLACKROCK HEALTH SCIENCES TR,BME,USD
BMI,BADGER METER INC,BMI,USD
BML PRG,BANK OF AMERICA CORP DEP SH REPS PFD G,BML PRG,USD
BML PRH,BANK OF AMERICA CORP DEP SH REPS PFD H,BML PRH,USD
BML PRICL,BANK OF AMERICA DEP SHR 6.375% SERIES 3 PFD,BML PRICL,USD
BML PRJ,BANK OF AMERICA DEP SHR FLOATING RATE PFD,BML PRJ,USD
BML PRL,BANK OF AMERICA DEP SHARES 1/1200TH PFD SER 5,BML PRL,USD
BMLP,BMO ELKHORN DWA MLP SI ETN,BMLP,USD
BMO,BANK OF MONTREAL,BMO,USD
BMRA,BIOMERICA INC,BMRA,USD
BMRC,BANK OF MARIN BANCORP/CA,BMRC,USD
BMRN,BIOMARIN PHARMACEUTICAL INC,BMRN,USD
BMS,BEMIS COMPANY,BMS,USD
BMTC,BRYN MAWR BANK CORP,BMTC,USD
BMY,BRISTOL-MYERS SQUIBB CO,BMY,USD
BNCL,BENEFICIAL BANCORP INC,BNCL,USD
BND,VANGUARD TOTAL BOND MARKET,BND,USD
BNDC,FLEXSHARES CORE SELECT BOND,BNDC,USD
BNDX,VANGUARD TOTAL INTL BOND ETF,BNDX,USD
BNED,BARNES & NOBLE EDUCATION INC,BNED,USD
BNFT,BENEFITFOCUS INC,BNFT,USD
BNO,UNITED STATES BRENT OIL FUND,BNO,USD
BNS,BANK OF NOVA SCOTIA,BNS,USD
BNSO,BONSO ELECTRONICS INTL INC,BNSO,USD
BNTC,BENITEC BIOPHARMA-SP ADR,BNTC,USD
BNY,BLACKROCK NEW YORK MUNI INC,BNY,USD
BOCH,BANK OF COMMERCE HOLDINGS,BOCH,USD
BOE,BLACKROCK ENHANCED GLOBAL DI,BOE,USD
BOFI,BOFI HOLDING INC,BOFI,USD
BOFIL,BOFI HOLDING INC,BOFIL,USD
BOH,BANK OF HAWAII CORP,BOH,USD
BOIL,PROSHARES ULTRA BLOOMBERG NA,BOIL,USD
BOJA,BOJANGLES' INC,BOJA,USD
BOKF,BOK FINANCIAL CORPORATION,BOKF,USD
BOKFL,BOK FINANCIAL CORP,BOKFL,USD
BOLD,AUDENTES THERAPEUTICS INC,BOLD,USD
BOM,DB BASE METALS DOUBLE SHORT,BOM,USD
BOMN,BOSTON OMAHA CORP-CL A,BOMN,USD
BOND,PIMCO ACTIVE BOND EXCHANGE-T,BOND,USD
BOOM,DMC GLOBAL INC,BOOM,USD
BOON,NYSE PICKENS OIL RESPONSE ET,BOON,USD
BOOT,BOOT BARN HOLDINGS INC,BOOT,USD
BORN,CHINA NEW BORUN CORP-ADR,BORN,USD
BOS,DB BASE METALS SHORT ETN,BOS,USD
BOSC,BOS BETTER ON-LINE SOLUTIONS,BOSC,USD
BOSS,GLOBAL X FOUNDER-RUN COMPANI,BOSS,USD
BOTJ,BANK OF THE JAMES FINANCIAL,BOTJ,USD
BOTZ,GLOBAL X ROBOTICS & ARTIFICI,BOTZ,USD
BOX,BOX INC - CLASS A,BOX,USD
BOXL,BOXLIGHT CORP - CLASS A,BOXL,USD
BP,BP PLC-SPONS ADR,BP,USD
BPFH,BOSTON PRIVATE FINL HOLDING,BPFH,USD
BPI,BRIDGEPOINT EDUCATION INC,BPI,USD
BPK,BLACKROCK MUNICIPAL 2018 TRM,BPK,USD
BPL,BUCKEYE PARTNERS LP,BPL,USD
BPMC,BLUEPRINT MEDICINES CORP,BPMC,USD
BPMP,BP MIDSTREAM PARTNERS LP,BPMP,USD
BPMX,BIOPHARMX CORP,BPMX,USD
BPOP,POPULAR INC,BPOP,USD
BPOPM,POPULAR CAPT TRUST II 6.125% CUML MTLY INC TRST PFD SEC,BPOPM,USD
BPOPN,"POPULAR CAPITAL TR I, 6.70% CUMUL MTHLY INC TR PFD SE",BPOPN,USD
BPRN,THE BANK OF PRINCETON,BPRN,USD
BPT,BP PRUDHOE BAY ROYALTY TRUST,BPT,USD
BPTH,BIO-PATH HOLDINGS INC,BPTH,USD
BPY,BROOKFIELD PROPERTY PARTNERS,BPY,USD
BQH,BLACKROCK NEW YORK MUNI BOND,BQH,USD
BR,BROADRIDGE FINANCIAL SOLUTIO,BR,USD
BRAC,BLACK RIDGE ACQUISITION CORP,BRAC,USD
BRACR,BLACK RIDGE ACQU CORP-RTS,BRACR,USD
BRACU,BLACK RIDGE ACQUISITION CORP,BRACU,USD
BRC,BRADY CORPORATION - CL A,BRC,USD
BREW,CRAFT BREW ALLIANCE INC,BREW,USD
BRF,VANECK VECTORS BRAZIL SMALL-,BRF,USD
